"name","brand","rank"
"Cleansing & Clarifying Duo","LANCÔME","5"
"Extra Rich Cleansing Milk","SHISEIDO","5"
"The Cleansing Foam Mini","LA MER","5"
"Limited Edition Dramatically Different™ Moisturizing Gel","CLINIQUE","5"
"Capture Totale Multi-Perfection Creme Refill","DIOR","5"
"Epidermal Re-Texturizing Micro-Dermabrasion","KIEHL'S SINCE 1851","5"
"Water Bank Dual Layer Face Oil","LANEIGE","5"
"Little Miss Miracle Limited-Edition Crème de la Mer","LA MER","5"
"Tech Neck Prevention Kit","NURSE JAMIE","5"
"Pore Refining Detox Double Cleanse","ERNO LASZLO","5"
