"brand","Quantidade de Produtos"
"ANTHONY","3"
"KIEHL'S SINCE 1851","46"
"NURSE JAMIE","1"
"HERBIVORE","11"
"KENZOKI","3"
"BAREMINERALS","6"
"LANCÔME","34"
"PHILOSOPHY","29"
"KORRES","14"
"YVES SAINT LAURENT","1"
"GO-TO","2"
"SMASHBOX","5"
"BIOEFFECT","4"
"CLARINS","27"
"MURAD","47"
"INDIE LEE","4"
"ESTÉE LAUDER","32"
"LIGHTSTIM","1"
"LAURA MERCIER","8"
"SK-II","17"
"BIOSSANCE","9"
"KAT VON D","1"
"CLINIQUE","79"
"DR. DENNIS GROSS SKINCARE","25"
"EVE LOM","8"
"BOBBI BROWN","10"
"NEOGEN DERMALOGY","3"
"ERNO LASZLO","7"
"ALGENIST","27"
"VOLITION BEAUTY","5"
"SEPHORA COLLECTION","66"
"TARTE","18"
"MAKE UP FOR EVER","2"
"DR. JART+","41"
"URBAN DECAY","1"
"WANDER BEAUTY","2"
"DIOR","27"
"PETER THOMAS ROTH","46"
"FOREO","8"
"LANCER","12"
"J.ONE","3"
"IT COSMETICS","16"
"SKIN LAUNDRY","5"
"OMOROVICZA","5"
"ST. TROPEZ TANNING ESSENTIALS","2"
"LANEIGE","18"
"REN CLEAN SKINCARE","17"
"PRIVATE DOCTOR","1"
"APIVITA","1"
"SATURDAY SKIN","7"
"MAKEUP ERASER","1"
"BELIF","18"
"GUERLAIN","6"
"DRUNK ELEPHANT","20"
"CAUDALIE","30"
"FARMACY","13"
"DR ROEBUCK’S","3"
"COOLA","19"
"SKIN INC SUPPLEMENT BAR","5"
"SAND & SKY","1"
"FENTY BEAUTY BY RIHANNA","1"
"L'OCCITANE","4"
"NUFACE","1"
"ORIGINS","54"
"CANE + AUSTIN","2"
"NATURALLY SERIOUS","2"
"MOROCCANOIL","5"
"DR. BRANDT SKINCARE","19"
"BEAUTYBIO","5"
"AMOREPACIFIC","21"
"PEACE OUT","3"
"FARSÁLI","4"
"KATE SOMERVILLE","35"
"KLORANE","3"
"LA MER","30"
"BLACK UP","1"
"TOO COOL FOR SCHOOL","7"
"KORA ORGANICS","3"
"SHISEIDO","63"
"COVER FX","2"
"TATA HARPER","12"
"MOON JUICE","2"
"BOSCIA","23"
"CHARLOTTE TILBURY","5"
"YOUTH TO THE PEOPLE","7"
"TOO FACED","1"
"ERBORIAN","7"
"KOH GEN DO","2"
"FIRST AID BEAUTY","28"
"GLAMGLOW","17"
"KOPARI","2"
"CLARISONIC","1"
"BECCA","3"
"SUNDAY RILEY","13"
"JOSIE MARAN","9"
"ILIA","3"
"JACK BLACK","9"
"EDIBLE BEAUTY","1"
"TOM FORD","1"
"HUM NUTRITION","4"
"NARS","4"
"PERRICONE MD","30"
"MDSOLARSCIENCES","6"
"TATCHA","19"
"DERMAFLASH","1"
"KAPLAN MD","1"
"DERMADOCTOR","11"
"SUMMER FRIDAYS","2"
"BLITHE","3"
"FRESH","44"
"MILK MAKEUP","3"
"OLEHENRIKSEN","27"
"SUPERGOOP!","15"
"GLOW RECIPE","5"
"SON & PARK","1"
"VITA LIBERATA","2"
